id,arch_seq,objective,elapsed_sec
20ec9576-eb63-11eb-b77b-e5b65ebc440b,"[0.6490814219326427, 0.9908399531717685, 0.4856792698703696, 0.8934315502816501, 0.6401325498037441, 0.2137910586583781, 0.3141792747170902, 0.056155244440553975, 0.004877127914951762]",-7.499291896820068,898.3538794517517
20ec9577-eb63-11eb-b77b-e5b65ebc440b,"[0.0984191411217139, 0.8529198953498056, 0.11724022114505772, 0.45032980321224436, 0.2266109793723009, 0.0065308747909448295, 0.4876000045654326, 0.759576264304832, 0.9645791558800892]",-7.839245796203613,920.3815515041351
2623cf0a-eb63-11eb-b77b-e5b65ebc440b,"[0.7864443885391194, 0.16719517371713333, 0.0587449391567596, 0.949194844111876, 0.7099437203589709, 0.2217466962197947, 0.3480239450921725, 0.7057626648025359, 0.779445016525683]",-7.839241027832031,928.006270647049
30c9f36c-eb63-11eb-b77b-e5b65ebc440b,"[0.9381071796474423, 0.6761107019798058, 0.5994455697491804, 0.9205337989176201, 0.4216719302215247, 0.12287031707814855, 0.6833097793546169, 0.585382661396368, 0.05614761287478187]",-7.839242935180664,944.9871649742126
3fc383c4-eb63-11eb-b77b-e5b65ebc440b,"[0.12619687869810203, 0.346741753333615, 0.588699894051317, 0.9053822848926638, 0.5887098059698763, 0.4811455161889904, 0.2563701459873591, 0.5002517705765235, 0.5648651006137688]",-7.499293804168701,957.6782474517822
75a88156-eb63-11eb-b77b-e5b65ebc440b,"[0.990942728009198, 0.48020815167690534, 0.5584642836838059, 0.7117647548974795, 0.7881533474750176, 0.931652628977229, 0.12291954875789513, 0.5380457684447479, 0.7109388810883507]",-7.839243412017822,1058.9339973926544
773158e0-eb63-11eb-b77b-e5b65ebc440b,"[0.05676693608508465, 0.21002991740559507, 0.2523531340763976, 0.5865952194058275, 0.8420400805335473, 0.9613616434110066, 0.21517806187879063, 0.5126211414476451, 0.8062910867160078]",-7.499290943145752,1070.5942957401276
773158e1-eb63-11eb-b77b-e5b65ebc440b,"[0.4589367737990955, 0.10551911128186586, 0.04647903736214054, 0.9941550795057409, 0.025199216927247248, 0.1326737410266292, 0.0680036267909192, 0.5836252524299164, 0.025090511302493623]",-7.499290943145752,1051.2230608463287
8294893c-eb63-11eb-b77b-e5b65ebc440b,"[0.7872130732344923, 0.026799518828522162, 0.8715254867493704, 0.5407285199834777, 0.27610037496197914, 0.6868980402628964, 0.9965754008034726, 0.919350229367265, 0.057351235247186994]",-7.499299049377441,1066.4898195266724
84527f36-eb63-11eb-b77b-e5b65ebc440b,"[0.23327471823870904, 0.09859673074482178, 0.38874136221618794, 0.5398548551961985, 0.7754396855376935, 0.5449414768798347, 0.3157053614239328, 0.4260536927028097, 0.19331038989540728]",-7.499295234680176,1073.513901233673
